"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 03 15:29:34 GMT 2024","Mon Jun 03 15:29:34 GMT 2024","11","Surefire suite","Surefire test","TestTest","TestTest","testPass","testPass",""
"unknown","Mon Jun 03 15:29:34 GMT 2024","Mon Jun 03 15:29:34 GMT 2024","2","Surefire suite","Surefire test","TestTest","TestTest","testFail","testFail",""
