"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Mon Jun 03 15:09:45 GMT 2024","Mon Jun 03 15:09:45 GMT 2024","1","Surefire suite","Surefire test","TestTest","TestTest","testFail","testFail",""
"passed","Mon Jun 03 15:09:45 GMT 2024","Mon Jun 03 15:09:45 GMT 2024","10","Surefire suite","Surefire test","TestTest","TestTest","testPass","testPass",""
