"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 22 06:25:52 GMT 2024","Sat Jun 22 06:25:52 GMT 2024","7","Surefire suite","Surefire test","com.lumatest.TestTest","com.lumatest.TestTest","testPass","testPass",""
"passed","Sat Jun 22 06:25:53 GMT 2024","Sat Jun 22 06:25:55 GMT 2024","2811","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title"
"unknown","Sat Jun 22 06:25:52 GMT 2024","Sat Jun 22 06:25:52 GMT 2024","1","Surefire suite","Surefire test","com.lumatest.TestTest","com.lumatest.TestTest","testFail","testFail",""
"passed","Sat Jun 22 06:25:56 GMT 2024","Sat Jun 22 06:25:58 GMT 2024","2850","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title"
"passed","Sat Jun 22 06:25:59 GMT 2024","Sat Jun 22 06:26:01 GMT 2024","2176","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","testOpenBaseURL","To verify that the base URL and title of the application are correct and as expected"
