"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 22 07:34:37 GMT 2024","Sat Jun 22 07:34:37 GMT 2024","7","Surefire suite","Surefire test","TestTest","TestTest","testPass","testPass",""
"unknown","Sat Jun 22 07:34:37 GMT 2024","Sat Jun 22 07:34:37 GMT 2024","1","Surefire suite","Surefire test","TestTest","TestTest","testFail","testFail",""
